_id,partNumber,tcoCategory,color,consumableType,blackLifePages,colorLifePages,listPrice,streetPrice,guid
60f144f94db57e11030324c2,40468701,TCO_LLC,Black,NA,30000,0,0,218.99,OK0252
60f144f94db57e11030324c3,40300502,TCO_LLC,Independent,NA,200000,0,0,189.99,OK0252
60f144f94db57e11030324c1,40468801,TCO_Normal_Yield,Black,Independent_Black,6000,0,0,42.99,OK0252
60f144f94db57e1103032bef,B0649645,TCO_LLC,Black,NA,350000,0,0,79.95,SA0158
60f144f94db57e110303290c,885400,TCO_Normal_Yield,Black,Independent_Black,43000,0,89.95,65,SA0158
60f145064db57e110303d71d,DKT114,TCO_Normal_Yield,Black,Independent_Black,3000,0,0,179,MT0023
60f1450a4db57e110304363d,F114_S36,SP-360,Black,,0,0,0,143.26,MT0023
60f145064db57e110303d73f,DK120,TCO_LLC,Black,NA,20000,0,0,139.99,MT0024
60f145064db57e110303d73e,TS120,TCO_Normal_Yield,Black,Independent_Black,5500,0,0,93.99,MT0024
60f144fb4db57e110303549e,IU210M,TCO_LLC,Magenta,NA,0,45000,0,197.61,NE0004
60f144fb4db57e110303549f,IU210Y,TCO_LLC,Yellow,NA,0,45000,0,197.61,NE0004
60f144fb4db57e11030354a0,4038R77311,TCO_LLC,Independent,NA,0,150000,0,113.8,NE0004
60f145064db57e110303d677,4062201,TCO_LLC,Black,NA,70000,0,152.53,0,NE0004
60f145064db57e110303d678,4062501,TCO_LLC,Cyan,NA,0,45000,428.48,0,NE0004
60f144fb4db57e110303549b,TN210C,TCO_Normal_Yield,Cyan,Independent_Color,0,12000,0,101,NE0004
60f145064db57e110303d673,8938505,TCO_Normal_Yield,Black,Independent_Black,20000,0,44.37,0,NE0004
60f145064db57e110303d675,8938507,TCO_Normal_Yield,Magenta,Independent_Color,0,12000,77.65,0,NE0004
60f145064db57e110303d676,8938506,TCO_Normal_Yield,Yellow,Independent_Color,0,12000,77.65,0,NE0004
60f144fb4db57e11030357ac,IU211M,TCO_LLC,Magenta,NA,0,75000,0,575,NE0013
60f144fb4db57e11030357ad,IU211C,TCO_LLC,Cyan,NA,0,75000,0,575,NE0013
60f144fb4db57e11030357ae,IU211Y,TCO_LLC,Yellow,NA,0,75000,0,575,NE0013
60f145054db57e110303d58d,A02E-R720-00,TCO_LLC,Independent,NA,0,400000,0,514.95,NE0013
60f145064db57e110303d693,A0DE02F,TCO_LLC,Black,NA,100000,0,142.38,0,NE0013
60f145064db57e110303d698,A02ER73000,TCO_LLC,Independent,NA,0,150000,270.4,0,NE0013
60f145064db57e110303d68f,A0D7132,TCO_Normal_Yield,Black,Independent_Black,24500,0,53.37,0,NE0013
60f145064db57e110303d690,A0D7432,TCO_Normal_Yield,Cyan,Independent_Color,0,19000,113.58,0,NE0013
60f145064db57e110303d691,A0D7332,TCO_Normal_Yield,Magenta,Independent_Color,0,19000,113.58,0,NE0013
60f145064db57e110303d692,A0D7232,TCO_Normal_Yield,Yellow,Independent_Color,0,19000,113.58,0,NE0013
60f144fb4db57e1103035783,IU313K,TCO_LLC,Black,NA,120000,0,0,166,NE0012
60f144fb4db57e1103035784,IU313C,TCO_LLC,Cyan,NA,0,90000,0,597,NE0012
60f144fb4db57e1103035786,IU313Y,TCO_LLC,Yellow,NA,0,90000,0,597,NE0012
60f145054db57e110303d58d,A02E-R720-00,TCO_LLC,Independent,NA,0,400000,0,514.95,NE0012
60f145064db57e110303d68b,A0DE0DF,TCO_LLC,Magenta,NA,0,90000,624,0,NE0012
60f145064db57e110303d68e,A02ER71300,TCO_LLC,Independent,NA,0,150000,52.69,0,NE0012
60f144fb4db57e110303577f,TN314K,TCO_Normal_Yield,Black,Independent_Black,26000,0,0,53,NE0012
60f144fb4db57e1103035780,TN314C,TCO_Normal_Yield,Cyan,Independent_Color,0,20000,0,105,NE0012
60f144fb4db57e1103035782,TN314Y,TCO_Normal_Yield,Yellow,Independent_Color,0,20000,0,105,NE0012
60f145064db57e110303d687,AOD7331,TCO_Normal_Yield,Magenta,Independent_Color,0,20000,105.39,0,NE0012
60f144fb4db57e110303575f,TN611C,TCO_Normal_Yield,Cyan,Independent_Color,0,27000,0,127,NE0011
60f144fb4db57e1103035760,TN611M,TCO_Normal_Yield,Magenta,Independent_Color,0,27000,0,127,NE0011
60f144fb4db57e1103035761,TN611Y,TCO_Normal_Yield,Yellow,Independent_Color,0,27000,0,127,NE0011
