distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532001,Talamadugu,1901001,4,2018,882,884,1260,17472,0,0,0,0,0,18732,0,27
532,Adilabad,532001,Talamadugu,1901002,4,2018,538,538,595,10794,0,0,0,0,0,11389,0,6
532,Adilabad,532001,Talamadugu,1901003,4,2018,260,260,595,5200,0,0,0,0,0,5795,0,3
532,Adilabad,532001,Talamadugu,1901004,4,2018,350,352,490,7326,10,0,13,0,0,7991.5,0,5
532,Adilabad,532001,Talamadugu,1901005,4,2018,866,873,4795,16560,0,0,137,0,0,23204.5,0,7
532,Adilabad,532001,Talamadugu,1901006,4,2018,411,411,1120,8064,0,0,0,0,0,9184,0,2
532,Adilabad,532001,Talamadugu,1901007,4,2018,472,472,350,9354,0,0,6,0,0,9785,0,10
532,Adilabad,532001,Talamadugu,1901008,4,2018,387,387,2625,6672,0,0,0,0,0,9297,0,55
532,Adilabad,532001,Talamadugu,1901009,4,2018,298,307,665,6768,0,0,0,0,0,7433,0,2
532,Adilabad,532001,Talamadugu,1901010,4,2018,825,825,3291,16038,0,0,89,0,0,20530.5,0,12
532,Adilabad,532001,Talamadugu,1901011,4,2018,498,498,140,10350,10,0,0,0,0,10490,0,10
532,Adilabad,532001,Talamadugu,1901012,4,2018,754,757,1015,15540,0,0,25,0,0,16892.5,0,14
532,Adilabad,532001,Talamadugu,1901013,4,2018,349,368,630,7530,0,0,16,0,0,8376,0,6
532,Adilabad,532001,Talamadugu,1901014,4,2018,169,170,315,3354,0,0,0,0,0,3669,0,1
532,Adilabad,532001,Talamadugu,1901015,4,2018,373,373,2170,6162,0,0,54,0,0,9061,0,2
532,Adilabad,532001,Talamadugu,1901016,4,2018,683,683,1395,14766,0,0,0,0,0,16161,0,26
532,Adilabad,532002,Tamsi,1902001,4,2018,737,738,1785,13500,0,0,0,0,0,15285,0,20
532,Adilabad,532002,Tamsi,1902002,4,2018,408,408,1120,9496,0,0,0,0,0,10616,0,2
532,Adilabad,532002,Tamsi,1902003,4,2018,308,308,735,5688,0,0,0,0,0,6423,0,1
532,Adilabad,532002,Tamsi,1902004,4,2018,195,197,315,3624,0,0,9,0,0,4060.5,0,2
532,Adilabad,532002,Tamsi,1902005,4,2018,562,562,1400,10668,0,0,0,0,0,12068,0,9
532,Adilabad,532002,Tamsi,1902006,4,2018,479,480,970,8994,0,0,1,0,0,9977.5,0,5
532,Adilabad,532002,Tamsi,1902007,4,2018,386,386,1015,7140,0,0,0,0,0,8155,0,5
532,Adilabad,532002,Tamsi,1902009,4,2018,567,569,1050,10416,0,0,0,0,0,11466,0,11
532,Adilabad,532002,Tamsi,1902010,4,2018,332,332,735,5556,0,0,0,0,0,6291,0,3
532,Adilabad,532002,Tamsi,1902011,4,2018,321,322,805,5772,0,0,0,0,0,6577,0,2
532,Adilabad,532004,Jainad,1904001,4,2018,668,674,1155,12222,0,0,25,0,0,13714.5,0,52
532,Adilabad,532004,Jainad,1904002,4,2018,600,601,1505,10470,0,0,41,0,0,12528.5,0,14
532,Adilabad,532004,Jainad,1904003,4,2018,431,432,700,8766,0,0,17,0,0,9695.5,0,6
532,Adilabad,532004,Jainad,1904005,4,2018,650,653,1325,11520,0,0,0,0,0,12845,0,13
532,Adilabad,532004,Jainad,1904006,4,2018,384,387,1225,6330,0,0,35,0,0,8027.5,0,4
532,Adilabad,532004,Jainad,1904007,4,2018,386,389,1116,6900,0,0,30,0,0,8421,0,2
532,Adilabad,532004,Jainad,1904009,4,2018,337,337,875,6156,0,0,19,0,0,7287.5,0,1
532,Adilabad,532004,Jainad,1904010,4,2018,295,296,735,5166,0,0,20,0,0,6171,0,6
532,Adilabad,532004,Jainad,1904011,4,2018,96,97,700,1410,0,0,19,0,0,2366.5,0,1
532,Adilabad,532004,Jainad,1904012,4,2018,339,339,1050,6480,0,0,29,0,0,7921.5,0,1
532,Adilabad,532004,Jainad,1904013,4,2018,351,353,315,6276,0,0,0,0,0,6591,0,3
532,Adilabad,532004,Jainad,1904014,4,2018,263,264,595,4812,0,0,17,0,0,5636.5,0,2
532,Adilabad,532004,Jainad,1904016,4,2018,534,534,1647,10188,0,0,49,0,0,12496.5,0,4
532,Adilabad,532004,Jainad,1904017,4,2018,193,193,280,3846,0,0,0,0,0,4126,0,2
532,Adilabad,532004,Jainad,1904018,4,2018,264,265,525,5118,0,0,0,0,0,5643,0,4
532,Adilabad,532004,Jainad,1904019,4,2018,565,635,2030,10182,0,0,58,0,0,12995,0,3
532,Adilabad,532004,Jainad,1904020,4,2018,367,367,1050,6372,0,0,2,0,0,7449,0,1
532,Adilabad,532004,Jainad,1904021,4,2018,429,431,1505,6989,0,0,17,0,0,8723.5,0,1
532,Adilabad,532004,Jainad,1904022,4,2018,243,251,245,4512,0,0,7,0,0,4851.5,0,0
532,Adilabad,532004,Jainad,1904023,4,2018,114,118,280,2004,0,0,3,0,0,2324.5,0,3
532,Adilabad,532004,Jainad,1904024,4,2018,267,267,0,4986,0,0,0,0,0,4986,0,5
532,Adilabad,532004,Jainad,1904025,4,2018,550,552,315,11496,0,0,9,0,0,11932.5,0,10
532,Adilabad,532004,Jainad,1904026,4,2018,189,199,385,3636,0,0,10,0,0,4156,0,3
532,Adilabad,532004,Jainad,1904027,4,2018,589,590,35,11448,0,0,0,0,0,11483,0,13
532,Adilabad,532004,Jainad,1904028,4,2018,202,203,280,3552,0,0,0,0,0,3832,0,0
532,Adilabad,532004,Jainad,1904029,4,2018,296,316,665,5208,0,0,19,0,0,6129.5,0,1
532,Adilabad,532004,Jainad,1904030,4,2018,171,172,432,2801,0,0,11,0,0,3381.5,0,3
532,Adilabad,532004,Jainad,1904031,4,2018,339,341,1015,5934,0,0,27,0,0,7313.5,0,6
532,Adilabad,532004,Jainad,1904032,4,2018,392,393,700,7584,0,0,20,0,0,8554,0,3
532,Adilabad,532004,Jainad,1904033,4,2018,176,176,175,3270,0,0,5,0,0,3512.5,0,3
532,Adilabad,532004,Jainad,1904034,4,2018,292,292,280,5262,0,0,0,0,0,5542,0,0
532,Adilabad,532004,Jainad,1904036,4,2018,164,165,700,2580,0,0,20,0,0,3550,0,2
532,Adilabad,532005,Bela,1905001,4,2018,1041,1044,2064,20207,0,0,0,0,0,22271,0,6
532,Adilabad,532005,Bela,1905002,4,2018,381,382,140,8032,0,0,0,0,0,8172,0,2
532,Adilabad,532005,Bela,1905003,4,2018,471,472,1260,8682,0,0,0,0,0,9942,0,12
532,Adilabad,532005,Bela,1905004,4,2018,286,286,455,5388,0,0,0,0,0,5843,0,1
532,Adilabad,532005,Bela,1905005,4,2018,357,362,945,6390,0,0,26,0,0,7686,0,1
532,Adilabad,532005,Bela,1905006,4,2018,370,370,455,6948,0,0,0,0,0,7403,0,3
532,Adilabad,532005,Bela,1905007,4,2018,467,467,1260,8886,0,0,0,0,0,10146,0,0
532,Adilabad,532005,Bela,1905008,4,2018,207,211,420,3858,0,0,4,0,0,4332,0,1
532,Adilabad,532005,Bela,1905009,4,2018,377,377,945,6378,0,0,0,0,0,7323,0,2
532,Adilabad,532005,Bela,1905010,4,2018,444,444,1015,8630,0,0,0,0,0,9645,0,6
532,Adilabad,532005,Bela,1905011,4,2018,227,227,420,4392,0,0,0,0,0,4812,0,3
532,Adilabad,532005,Bela,1905012,4,2018,580,580,1925,10584,0,0,0,0,0,12509,0,10
532,Adilabad,532005,Bela,1905013,4,2018,207,207,70,3852,0,0,0,0,0,3922,0,6
532,Adilabad,532005,Bela,1905014,4,2018,553,553,1085,10356,0,0,0,0,0,11441,0,0
532,Adilabad,532005,Bela,1905015,4,2018,371,371,245,7158,0,0,0,0,0,7403,0,0
532,Adilabad,532005,Bela,1905017,4,2018,316,317,280,6432,0,0,0,0,0,6712,0,31
532,Adilabad,532005,Bela,1905020,4,2018,281,281,0,5718,0,0,0,0,0,5718,0,0
532,Adilabad,532005,Bela,1905021,4,2018,515,521,1085,9588,0,0,29,0,0,11064.5,0,9
532,Adilabad,532005,Bela,1905022,4,2018,348,348,875,6588,0,0,14,0,0,7652,0,6
532,Adilabad,532005,Bela,1905023,4,2018,331,332,875,6318,0,0,0,0,0,7193,0,1
532,Adilabad,532006,Narnoor,1906001,4,2018,932,932,3465,19229,30,0,0,0,0,22694,0,55
532,Adilabad,532006,Narnoor,1906002,4,2018,327,327,1505,6510,10,0,0,0,0,8015,0,13
532,Adilabad,532006,Narnoor,1906003,4,2018,329,329,595,7632,10,0,0,0,0,8227,0,0
532,Adilabad,532006,Narnoor,1906004,4,2018,408,408,1955,8292,46,0,0,0,0,10247,0,6
532,Adilabad,532006,Narnoor,1906005,4,2018,632,639,2311,13068,340,0,61,0,0,16202.5,0,159
532,Adilabad,532006,Narnoor,1906006,4,2018,859,861,3745,17154,30,0,2,0,0,20926,0,2
532,Adilabad,532006,Narnoor,1906007,4,2018,633,657,875,13818,0,0,23,0,0,15003.5,0,18
532,Adilabad,532006,Narnoor,1906008,4,2018,258,276,735,5670,10,0,17,0,0,6634.5,0,14
532,Adilabad,532006,Narnoor,1906009,4,2018,505,505,2030,10488,130,0,56,0,0,13274,0,3
532,Adilabad,532006,Narnoor,1906012,4,2018,276,276,490,6288,20,0,11,0,0,6926.5,0,4
532,Adilabad,532006,Narnoor,1906016,4,2018,323,339,945,7110,0,0,16,0,0,8271,0,3
532,Adilabad,532006,Narnoor,1906023,4,2018,436,439,385,9642,30,0,2,0,0,10054,0,6
532,Adilabad,532007,Indravelly,1907001,4,2018,1204,1210,4410,24522,0,0,122,0,0,30579,0,61
532,Adilabad,532007,Indravelly,1907002,4,2018,830,830,1330,17310,0,0,15,0,0,18842.5,0,122
532,Adilabad,532007,Indravelly,1907003,4,2018,670,679,5182,12119,0,0,144,0,0,19245,0,4
532,Adilabad,532007,Indravelly,1907004,4,2018,1013,1017,2135,22434,0,0,58,0,0,25352,0,4
532,Adilabad,532007,Indravelly,1907005,4,2018,353,385,1155,7728,0,0,30,0,0,9288,0,0
532,Adilabad,532007,Indravelly,1907006,4,2018,495,555,2100,9732,0,0,60,0,0,12642,0,8
532,Adilabad,532007,Indravelly,1907007,4,2018,566,656,3140,11844,0,0,89,0,0,16185.5,0,1
532,Adilabad,532007,Indravelly,1907008,4,2018,256,256,980,4992,0,0,0,0,0,5972,0,18
532,Adilabad,532007,Indravelly,1907009,4,2018,259,259,840,5460,0,0,24,0,0,6624,0,3
532,Adilabad,532007,Indravelly,1907010,4,2018,820,822,3115,17460,0,0,85,0,0,21722.5,0,0
532,Adilabad,532007,Indravelly,1907014,4,2018,585,585,5320,9960,0,0,0,0,0,15280,0,21
532,Adilabad,532007,Indravelly,1907015,4,2018,373,373,1365,7776,0,0,7,0,0,9235.5,0,3
532,Adilabad,532007,Indravelly,1907016,4,2018,676,676,1785,15642,0,0,0,0,0,17427,0,4
532,Adilabad,532007,Indravelly,1907017,4,2018,388,388,1785,8220,0,0,0,0,0,10005,0,13
532,Adilabad,532007,Indravelly,1907018,4,2018,384,384,2730,7038,0,0,10,0,0,9903,0,4
532,Adilabad,532007,Indravelly,1907102,4,2018,177,177,560,3804,0,0,16,0,0,4580,0,7
532,Adilabad,532008,Gudihathnur,1908001,4,2018,1394,1396,3290,28530,40,0,0,0,0,31820,0,43
532,Adilabad,532008,Gudihathnur,1908002,4,2018,932,935,2030,18887,40,0,2,0,0,20944,0,2
532,Adilabad,532008,Gudihathnur,1908003,4,2018,558,559,1365,11346,10,0,0,0,0,12711,0,1
532,Adilabad,532008,Gudihathnur,1908004,4,2018,500,500,980,10188,0,0,0,0,0,11168,0,3
532,Adilabad,532008,Gudihathnur,1908005,4,2018,550,551,1155,11154,0,0,33,0,0,12754.5,0,2
532,Adilabad,532008,Gudihathnur,1908006,4,2018,442,461,1225,8454,0,0,0,0,0,9679,0,10
532,Adilabad,532008,Gudihathnur,1908007,4,2018,552,552,1225,10950,40,0,0,0,0,12175,0,3
532,Adilabad,532008,Gudihathnur,1908008,4,2018,620,620,1645,12474,10,0,0,0,0,14119,0,155
532,Adilabad,532008,Gudihathnur,1908009,4,2018,526,526,1050,10758,10,0,0,0,0,11808,0,20
532,Adilabad,532008,Gudihathnur,1908010,4,2018,515,524,1260,10529,0,0,35,0,0,12261.5,0,7
532,Adilabad,532008,Gudihathnur,1908011,4,2018,735,762,1050,14861,0,0,30,0,0,16316,0,192
532,Adilabad,532008,Gudihathnur,1908012,4,2018,275,276,618,6146,12,0,0,0,0,6764,0,1
532,Adilabad,532009,Ichoda,1909001,4,2018,698,698,5215,11946,20,0,0,0,0,17161,0,44
532,Adilabad,532009,Ichoda,1909002,4,2018,667,676,2100,13518,10,0,58,0,0,16401,0,210
532,Adilabad,532009,Ichoda,1909003,4,2018,607,636,1050,14490,10,0,28,0,0,15918,0,158
532,Adilabad,532009,Ichoda,1909004,4,2018,626,631,1050,13056,10,0,20,0,0,14376,0,246
532,Adilabad,532009,Ichoda,1909005,4,2018,660,660,1115,11543,10,0,0,0,0,12658,0,12
532,Adilabad,532009,Ichoda,1909006,4,2018,247,248,455,5550,20,0,0,0,0,6005,0,0
532,Adilabad,532009,Ichoda,1909007,4,2018,565,565,1015,11712,10,0,28,0,0,13105,0,3
532,Adilabad,532009,Ichoda,1909008,4,2018,524,557,1295,10224,10,0,33,0,0,11964.5,0,2
532,Adilabad,532009,Ichoda,1909009,4,2018,581,590,1225,11064,20,0,35,0,0,12761.5,0,14
532,Adilabad,532009,Ichoda,1909010,4,2018,827,828,1680,16680,30,0,26,0,0,18711,0,4
532,Adilabad,532009,Ichoda,1909013,4,2018,340,340,455,6486,0,0,0,0,0,6941,0,2
532,Adilabad,532009,Ichoda,1909015,4,2018,362,390,1034,7731,10,0,25,0,0,9102.5,0,1
532,Adilabad,532009,Ichoda,1909016,4,2018,522,546,1015,10002,10,0,24,0,0,11341,0,5
532,Adilabad,532009,Ichoda,1909017,4,2018,589,589,840,12510,20,0,0,0,0,13350,0,32
532,Adilabad,532009,Ichoda,1909018,4,2018,634,649,700,16806,20,0,14,0,0,17695,0,4
532,Adilabad,532009,Ichoda,1909020,4,2018,611,655,1085,17579,10,0,31,0,0,19082.5,0,3
532,Adilabad,532009,Ichoda,1909021,4,2018,413,413,1435,8591,0,0,0,0,0,10026,0,4
532,Adilabad,532009,Ichoda,1909022,4,2018,617,650,1190,12798,0,0,32,0,0,14420,0,4
532,Adilabad,532009,Ichoda,1909024,4,2018,129,129,175,2706,0,0,0,0,0,2881,0,49
532,Adilabad,532010,Bajarhathnoor,1910001,4,2018,284,284,280,5250,0,0,0,0,0,5530,0,2
532,Adilabad,532010,Bajarhathnoor,1910002,4,2018,293,303,385,5639,0,0,10,0,0,6159,0,4
532,Adilabad,532010,Bajarhathnoor,1910003,4,2018,531,533,2975,9102,0,0,0,0,0,12077,0,9
532,Adilabad,532010,Bajarhathnoor,1910004,4,2018,316,317,525,6006,0,0,0,0,0,6531,0,12
532,Adilabad,532010,Bajarhathnoor,1910005,4,2018,247,257,525,4248,0,0,15,0,0,4975.5,0,4
532,Adilabad,532010,Bajarhathnoor,1910006,4,2018,320,324,560,5730,0,0,16,0,0,6506,0,4
532,Adilabad,532010,Bajarhathnoor,1910007,4,2018,517,517,975,11280,0,0,27,0,0,12619.5,0,1
532,Adilabad,532010,Bajarhathnoor,1910008,4,2018,524,528,700,8520,0,0,20,0,0,9490,0,10
532,Adilabad,532010,Bajarhathnoor,1910009,4,2018,454,454,1260,8454,0,0,0,0,0,9714,0,3
532,Adilabad,532010,Bajarhathnoor,1910010,4,2018,207,207,385,4440,0,0,0,0,0,4825,0,1
532,Adilabad,532010,Bajarhathnoor,1910011,4,2018,254,255,420,5058,0,0,10,0,0,5613,0,4
532,Adilabad,532010,Bajarhathnoor,1910012,4,2018,365,365,350,7446,0,0,11,0,0,7944.5,0,6
532,Adilabad,532010,Bajarhathnoor,1910013,4,2018,485,517,1050,8646,0,0,30,0,0,10101,0,3
532,Adilabad,532010,Bajarhathnoor,1910014,4,2018,329,331,280,6426,0,0,0,0,0,6706,0,0
532,Adilabad,532010,Bajarhathnoor,1910015,4,2018,230,230,525,5106,0,0,0,0,0,5631,0,0
